"Algoritmo","Instrumento","Produto","Aplicacao","Regiao","Periodo","Ano"
"Other","Other","Other","Other","Global","2010-18",2017
"Other","Other","Other","Class","Global","2010-18",2017
"RF","Spec","Other","Other","Global","2010-18",2017
"Other","Other","Other","Class","Global","2010-18",2015
"Other","Other","Other","Other","Americas","2010-18",2011
"Other","Other","Other","Class","Global","2010-18",2010
"Other","NIR+Spec","Other","Other","Global","2022-25",2025
"Other","Other","Other","Class","Global","2010-18",2010
"NN","Other","Other","Other","Global","2022-25",2025
"NN","Other","Other","Class","Global","2022-25",2025
"NN","Other","Other","Class","Global","2022-25",2024
"NN","Other","Other","Auth+QC","Americas","2022-25",2023
"NN","Other","Honey","Class+QC","Global","2019-21",2020
"Other","Other","Olive","Class+OrgDet","Global","2010-18",2014
"SVM","Other","Other","Class","Americas","2010-18",2012
"SVM+NN","Other","Other","Other","Global","2022-25",2022
"RF","Other","Other","QC","Global","2022-25",2024
"Other","Other","Other","QC","Global","2010-18",2018
"Other","Other","Other","Other","Global","2010-18",2018
"Other","Spec","Other","Other","Global","2010-18",2018
"RF","Other","Other","Other","Americas","2010-18",2016
"Other","Other","Other","Other","Asia","2010-18",2015
"RF","Other","Other","Class","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2022
"RF","Other","Other","QC","Asia","2022-25",2025
"Other","Other","Other","Other","Europe","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"RF","Other","Other","OrgDet","Global","2022-25",2024
"Other","Other","Other","Class","Global","2022-25",2022
"Other","Spec","Other","QC","Americas","2010-18",2018
"Other","Other","Other","Class","Global","2010-18",2018
"RF","Other","Other","Class","Americas","2010-18",2016
"Other","Other","Other","Other","Global","2010-18",2016
"DT","Other","Other","Class","Asia","2010-18",2015
"Other","Other","Other","Other","Global","2010-18",2013
"Other","Other","Other","Other","Global","2010-18",2013
"Other","Other","Other","Other","Asia","2010-18",2013
"Other","Other","Other","Other","Americas","2010-18",2012
"Other","Other","Other","Other","Americas","2010-18",2012
"Other","Other","Other","Class","Global","2010-18",2011
"Other","Spec","Other","Class","Global","2010-18",2016
"Other","Other","Honey","Other","Global","2022-25",2022
"Other","Other","Other","QC","Global","2019-21",2020
"Other","Other","Other","Other","Global","2022-25",2025
"RF","Other","Honey","QC","Global","2022-25",2025
"Other","Other","Other","QC","Global","2022-25",2025
"Other","Other","Honey","OrgDet","Global","2022-25",2025
"NN","Other","Other","Other","Americas","2022-25",2025
"Other","Other","Other","QC","Global","2022-25",2024
"Other","Other","Honey","Other","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2024
"NN","Other","Other","Class+QC","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2024
"Other","Other","Honey","OrgDet","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2024
"NN","Other","Other","Class","Global","2022-25",2023
"Other","Other","Other","Other","Global","2022-25",2023
"Other","Spec","Other","Class+QC","Global","2022-25",2023
"NN","Other","Other","Other","Global","2022-25",2023
"Other","Other","Honey","Other","Americas","2022-25",2023
"Other","Other","Other","Other","Global","2022-25",2022
"NN","Other","Other","Other","Global","2022-25",2022
"NN","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","OrgDet","Asia","2019-21",2019
"Other","Other","Other","Other","Global","2019-21",2019
"Other","Other","Other","OrgDet","Global","2010-18",2016
"Other","Other","Other","Other","Global","2010-18",2015
"Other","Other","Honey","OrgDet","Global","2010-18",2012
"Other","Other","Other","Class","Global","2010-18",2011
"Other","Other","Other","Other","Global","2010-18",2010
"NN","Other","Other","Other","Global","2022-25",2022
"NN","Spec","Other","Auth+Class+OrgDet+QC","Global",NA,2026
"Other","Other","Other","Other","Global","2019-21",2020
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2019-21",2020
"Other","Other","Other","Other","Global","2010-18",2017
"Other","Other","Other","Other","Global","2010-18",2015
"Other","Other","Other","Other","Global","2022-25",2023
"Other","Other","Other","Other","Global","2010-18",2010
"NN","Other","Other","QC","Asia","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","QC","Asia","2022-25",2025
"Other","Spec","Other","Other","Europe","2022-25",2024
"Other","Other","Other","QC","Americas","2022-25",2024
"GB","Spec","Other","Class+QC","Global","2022-25",2024
"RF","Other","Olive","Other","Europe","2022-25",2023
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","OrgDet","Asia","2022-25",2022
"Other","Other","Honey","Other","Americas","2019-21",2021
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Other","Asia","2019-21",2020
"Other","Other","Other","Other","Global","2010-18",2018
"Other","Other","Other","Other","Global","2010-18",2016
"Other","Spec","Other","Other","Europe","2010-18",2015
"Other","Other","Other","Other","Americas","2010-18",2015
"Other","Other","Other","Other","Europe","2010-18",2015
"Other","Other","Other","Other","Global","2010-18",2014
"Other","Other","Other","Other","Global","2010-18",2013
"Other","Other","Honey","Other","Global","2010-18",2013
"Other","Other","Other","OrgDet","Americas","2010-18",2013
"Other","Other","Other","Other","Global","2010-18",2013
"Other","Spec","Other","Other","Global","2010-18",2012
"Other","Other","Other","Class+QC","Global","2010-18",2011
"Other","Other","Other","Other","Global","2010-18",2010
"Other","Other","Other","Other","Global","2010-18",2016
"Other","Other","Other","Other","Global","2022-25",2025
"NN","Other","Other","Class+QC","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","OrgDet","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","OrgDet","Global","2022-25",2025
"Other","Other","Other","OrgDet","Global","2022-25",2024
"Other","Other","Other","OrgDet+QC","Asia","2022-25",2024
"Other","Other","Other","QC","Global","2022-25",2023
"Other","Other","Other","OrgDet","Asia","2022-25",2022
"Other","Other","Other","Other","Asia","2019-21",2021
"NN","Other","Honey","Class","Global","2019-21",2021
"Other","Other","Other","OrgDet","Global","2019-21",2021
"Other","Other","Other","Other","Global","2019-21",2019
"Other","Other","Other","Other","Global","2010-18",2015
"NN","Other","Other","Class","Global","2010-18",2015
"Other","Spec","Other","Other","Global","2010-18",2012
"Other","Other","Other","Other","Asia","2010-18",2011
"Other","Other","Other","Other","Global","2010-18",2011
"Other","Other","Other","QC","Global","2010-18",2010
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2023
"Other","Other","Honey","Other","Global","2022-25",2023
"Other","Other","Other","Class+QC","Americas","2010-18",2010
"Other","Other","Other","OrgDet","Americas","2019-21",2021
"Other","Other","Other","Other","Global","2010-18",2014
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2025
"Other","Spec","Other","Other","Global","2022-25",2025
"Other","Other","Other","Other","Global","2022-25",2024
"Other","Other","Other","OrgDet","Americas","2022-25",2024
"Other","Other","Other","Other","Global","2022-25",2023
"Other","Spec","Other","OrgDet","Global","2022-25",2023
"Other","Other","Other","Other","Asia","2022-25",2022
"Other","Other","Other","Other","Global","2022-25",2022
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Other","Americas","2019-21",2021
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Class","Global","2019-21",2021
"Other","NIR+Spec","Other","QC","Global","2019-21",2021
"Other","Other","Coffee","QC","Americas","2019-21",2020
"Other","Other","Coffee","Other","Global","2019-21",2019
"Other","Other","Other","Other","Global","2010-18",2018
"Other","Other","Other","Class","Global","2010-18",2016
"Other","Other","Other","Other","Global","2010-18",2014
"Other","Other","Other","OrgDet+QC","Global","2010-18",2011
"Other","Other","Other","Other","Global","2010-18",2015
"Other","Other","Other","Class","Global","2010-18",2013
"Other","Other","Other","Other","Americas","2022-25",2024
"Other","Other","Other","Other","Global","2010-18",2015
"Other","Other","Other","Other","Global","2019-21",2021
"Other","Other","Other","Other","Asia","2019-21",2021
"Other","Other","Other","Class","Global","2010-18",2017
"Other","Other","Other","Other","Global","2010-18",2014
"Other","Other","Other","Other","Asia","2022-25",2024
"Other","NIR+Spec","Other","Other","Global","2022-25",2024
"Other","Other","Other","Class+QC","Global","2022-25",2023
"Other","Other","Other","Other","Americas","2022-25",2022
"Other","Other","Other","Other","Asia","2019-21",2019
"Other","Spec","Other","Class","Global","2010-18",2016
"Other","Other","Other","Other","Americas","2010-18",2010
