"ID","Titulo","Ano","RandomForest","SVM","NeuralNetwork","KNN","DecisionTree","GradientBoosting","NIR","FTIR","GCMS","LCMS","ICPMS","NMR","Sensor","Wine","Coffee","Olive","Honey","Cheese","Authentication","Classification","OriginDetection","Europe","Asia","Americas","Cluster_KMeans","Cluster_Hierarquico"
23,"YOLOv8-TEA: Recognition Method of Tender Shoots of Tea Based on Instance Segmentation Algorithm",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
24,"Drought tolerance of Tének traditional agroecosystems: Towards mitigate the climate change effects",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,"Tropical land use land cover mapping in Pará (Brazil) using discriminative Markov random fields and multi-temporal TerraSAR-X data",2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
26,"A texture-based land cover classification for the delineation of a shifting cultivation landscape in the lao PDR using landscape metrics",2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
27,"Effects of Landscape Segregation on Livelihood Vulnerability: Moving From Extensive Shifting Cultivation to Rotational Agriculture and Natural Forests in Northern Laos",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
28,"Chemical fertilizers promote dissemination of ARGs in maize rhizosphere: An overlooked risk revealed after 37-year traditional agriculture practice",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,"Spatial assessment of wildfires susceptibility in santa cruz (Bolivia) using random forest",2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
30,"Automated pig counting using deep learning",2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
31,"Land use and land cover dynamics with special emphasis on shifting cultivation in Eastern Ghats Highlands of India using remote sensing data and GIS",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
32,"Predictive modelling of the spatial pattern of past and future forest cover changes in India",2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
33,"CNN-MLP-Based Configurable Robotic Arm for Smart Agriculture",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34,"Smart farming revolution: Leveraging machine learning for sustainable agriculture",2025,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
35,"A Synergistic Approach Using Machine Learning and Deep Learning for Forest Fire Susceptibility in Himalayan Forests",2025,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,"Applications of Computer Vision and Drone Technology in Agriculture 4.0",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
37,"Framework for eForest fire management in the shifting cultivation-dominated landscape of Meghalaya, North East India, using remote sensing and GIS",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
38,"Mountain arable land abandonment (1968-2018) in the Romanian Carpathians: Environmental conflicts and sustainability issues",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
39,"Analyzing post-socialist grassland conversion in a traditional agricultural landscape – Case study Croatia",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
40,"Forest cover dynamics of shifting cultivation in the Democratic Republic of Congo: A remote sensing-based assessment for 2000-2010",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
41,"Imperata grassland mapping in northern uplands of lao PDR: Area, distribution, characteristics, and implications for slash-and-burn cultivation",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
42,"Global drivers of forest loss at 1 km resolution",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
43,"A Connectivity Approach to Agricultural Diffuse Pollution in Tropical Montane Catchments Dominated by Swidden Landscapes",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
44,"Rice-yield prediction with multi-temporal sentinel-2 data and 3D CNN: A case study in Nepal",2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
45,"Agroforestry form and ecological adaptation in ancient Hawai'i: Extent of the pākukui swidden system of Hāmākua, Hawai'i Island",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,"Traditional agroecosystem transition in mountainous area of Three Gorges Reservoir Area",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
47,"Farms or Forests? Understanding and mapping shifting cultivation using the case study of West Garo hills, India",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
48,"Dynamics of shifting cultivation in relation to slope and elevation in parts of Nagaland, India",2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
49,"The demise of swidden-fallow agriculture in an Atlantic Rainforest region: Implications for farmers’ livelihood and conservation",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
50,"Agroforestry form and ecological adaptation in ancient Hawai'i: Extent of the pakukui swidden system of Hamakua, Hawai'i Island",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
51,"DEVELOPMENT OF SUSTAINABLE CULTURAL LANDSCAPES IN WEST KALIMANTAN",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
52,"Detecting tropical freshly-opened swidden fields using a combined algorithm of continuous change detection and support vector machine",2025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
53,"Change of crop structure intensified water supply-demand imbalance in China's Black Soil Granary",2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
54,"Yolo-Pest: An Insect Pest Object Detection Algorithm via CAC3 Module",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
55,"IoT for Agricultural Information Generation and Recommendation: A Deep Learning-Based Approach",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
56,"What drives clearing of old-growth forest over secondary forests in tropical shifting cultivation systems? Evidence from the Peruvian Amazon",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57,"Monitoring land use land cover changes in the Eastern Himalayan landscape of Nagaland, Northeast India",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
58,"Operationalizing a land systems classification for Laos",2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3
59,"RETRACTED: Deep Learning and Smart Contract-Assisted Secure Data Sharing for IoT-Based Intelligent Agriculture (Retracted article. See vol. 40, pg. 64, 2025)",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
60,"A global view of shifting cultivation: Recent, current, and future extent",2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
61,"Predictive mapping of Meadow Pipit density using integrated remote sensing data and an atlas of vascular plants dataset",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
62,"Trajectories of deforestation, coffee expansion and displacement of shifting cultivation in the Central Highlands of Vietnam",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
63,"Designing a protected area network for conservation planning in Jhum landscapes of Garo Hills, Meghalaya",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
64,"A Multiple Instance Learning Approach to Study Leaf Wilt in Soybean Plants",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
65,"Mapping cropland use changes in the Guanzhong Plain of China based on a two-level classification framework",2025,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3
66,"Agricultural commercialization in borderlands: Capturing the transformation of a tropical forest frontier through participatory mapping",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
67,"Swidden Agriculture Landscape Mapping Using MODIS Vegetation Index Time Series and Its Spatio-Temporal Dynamics in Northern Laos",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
68,"Large-area mapping of active cropland and short-term fallows in smallholder landscapes using PlanetScope data",2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
69,"Monthly mapping of forest harvesting using dense time series Sentinel-1 SAR imagery and deep learning",2022,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
70,"Artificial Intelligence in Agricultural Picking Robot Displacement Trajectory Tracking Control Algorithm",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
71,"Looking beyond forest cover: An analysis of landscape-scale predictors of forest degradation in the Brazilian Amazon",2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
72,"Automated mapping for long-term analysis of shifting cultivation in northeast India",2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
73,"Assessment of shifting cultivation fallows in Northeastern India using Landsat imageries",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
74,"Spatio-temporal analysis dynamics of the forest landscape of the Beni region (North Kivu, DRC).; Analyse de la dynamique spatio-temporelle du paysage forestier de la région de Beni (Nord-Kivu, RDC).",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
75,"Wild food collection and nutrition under commercial agriculture expansion in agriculture-forest landscapes",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
76,"Quantification of land cover and land use within the rural complex of the Democratic Republic of Congo",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
77,"UAV-derived data for mapping change on a swidden agriculture plot: preliminary results from a pilot study",2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
78,"Attribution of disturbance agents to forest change using a Landsat time series in tropical seasonal forests in the Bago Mountains, Myanmar",2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
79,"Vietnam’s Forest Transition in Retrospect: Demonstrating Weaknesses in Business-as-Usual Scenarios for REDD+",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
80,"Balancing shifting cultivation and forest conservation: Lessons from a ""sustainable landscape"" in southeastern Mexico",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
81,"An untidy cover: Invasion of bracken fern in the shifting cultivation systems of southern yucatán, Mexico",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
82,"Unmanned Aerial Vehicles (UAVs) for vegetation index analysis in traditional agriculture",2025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
83,"An Untidy Cover: Invasion of Bracken Fern in the Shifting Cultivation Systems of Southern Yucatan, Mexico",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
84,"Assessment of resilience and key drivers of Tibetan villages in Western Sichuan",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
85,"JuteNet: An Intelligent Approach for Jute Pest Recognition Using Residual Network with Hybrid Attention Module",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
86,"SorghumWeedDataset_Classification and SorghumWeedDataset_Segmentation datasets for classification, detection, and segmentation in deep learning",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
87,"Deep Learning and Smart Contract-Assisted Secure Data Sharing for IoT-Based Intelligent Agriculture",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
88,"Precision agriculture for pest management on enhanced acoustic signal using improved mel-frequency cepstrum coefficient and deep learning",2020,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
89,"Artificial vision and chemometrics analyses of olive stones for varietal identification of five French cultivars",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
90,"Evaluating SAR polarization modes at L-band for forest classification purposes in eastern Amazon, Brazil",2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
91,"Analysis of the Critical Role of a Smart Agricultural Internet of Things System in Industrial Benefit Evaluation",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
92,"ML-Based Hybrid SAR and Optical Image LULC Mapping and Change Analysis With Variations in the Air Quality of the Imphal Valley, North-East India",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
93,"Earth observation based multi-scale assessment of logging activities in the Democratic Republic of the Congo",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
94,"A global assessment of gross and net land change dynamics for current conditions and future scenarios",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
95,"Relationship of date palm tree density to dubas bug Ommatissus lybicus infestation in omani orchards",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
96,"Reconstructing land use history from Landsat time-series: Case study of a swidden agriculture system in Brazil",2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
97,"Decline of traditional rice farming constrains the recovery of the endangered Asian crested ibis (Nipponia nippon)",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
98,"Understanding forest fragmentation dynamics and identifying drivers for forest cover loss using random forest models to develop effective forest management strategies in North-East India",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
99,"BIODIVERSITY CHANGE IN AGRICULTURAL AREA IN NORTHERN DALMATIA (CROATIA)",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100,"Human Fire Use and Management: A Global Database of Anthropogenic Fire Impacts for Modelling",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
101,"Spaceborne LiDAR Reveals Anthropogenic and Biophysical Drivers Shaping the Spatial Distribution of Forest Aboveground Biomass in Eastern Himalayas",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
102,"Traditional agroecosystems for urban temperature regulation: a remote sensing analysis of an historical palm grove",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
103,"Hierarchical 3D Scene Graph based Semantic-Metric SLAM for Plant Inspection and Fruit Counting in Intelligent Hydroponics System",2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
104,"Forest loss during 2000-2019 in pygmy hippopotamus (Choeropsis liberiensis) habitats was driven by shifting agriculture",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
105,"Adaptive neuro fuzzy inference system to enhance the classification performance in smart irrigation system",2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
106,"Use of satellite remote sensing as a monitoring tool for land and water resources development activities in an Indian tropical site",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
107,"Land use and land cover changes in Kullu valley of Himachal Pradesh",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
108,"Evaluating Moisture and Geometry Effects on L-Band SAR Classification Performance Over a Tropical Rain Forest Environment",2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
109,"Beyond deforestation monitoring in conservation hotspots: Analysing landscape mosaic dynamics in north-eastern Madagascar",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
110,"Monitoring the spatio-temporal dynamics of swidden agriculture and fallow vegetation recovery using Landsat imagery in northern Laos",2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3
111,"Measuring impacts of community forestry program through repeat photography and satellite remote sensing in the Dolakha district of Nepal",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
112,"Environmental Cognitions, Land Change and Social-Ecological Feedbacks: Local Case Studies of Forest Transition in Vietnam",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
113,"Resilience of the Hani Rice Terraces System to extreme drought",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
114,"Agriculture and forest cover changes in post-war Mozambique",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
115,"Applicability of the normalized difference vegetation index (NDVI) In index-based crop insurance design",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
116,"Forest fire risk assessment in parts of Northeast India using geospatial tools",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
117,"Estimation of the stand ages of tropical secondary forests after shifting cultivation based on the combination of WorldView-2 and time-series Landsat images",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
118,"Farmland Shelterbelt Age Mapping Using Landsat Time Series Images",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
119,"Conceptual Links between Landscape Diversity and Diet Diversity: A Roadmap for Transdisciplinary Research",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
120,"Hierarchical 3-D Scene-Graph-Based Semantic-Metric SLAM for Plant Inspection and Fruit Counting in Intelligent Hydroponics System",2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
121,"Estimating forest degradation by capturing temporal change in biomass density: insights from a tropical dry forest",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
122,"Bridging Sustainability and Inclusion: Financial Access in the Environmental, Social, and Governance Landscape",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
123,"Spatiotemporal pattern of land use and land cover changes of upper Sangu-Matamuhuri Watershed in the South-Eastern Bangladesh",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
124,"A FARM WORKERS RE-IDENTIFICATION METHOD VIA MULTI-FEATURE FUSION",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
125,"Smart Agriculture: A Comprehensive Overview",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,"Food Safety Related Data Analytics, Digital, and Artificial Intelligence Needs and Opportunities in Controlled Environment Agriculture",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
127,"Harvest residue recycling rather than slash-burning results in the enhancement of soil fertility and bacterial community stability in Eucalyptus plantations",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
128,"An Artificial IoT-Enabled Smart Production Line for 360° Visual Defect Detection and Classification of Cherry Tomatoes",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
129,"Characterization of Fish Spawning Grounds near the Likouala-Aux-Herbes River, Lac Tele Community Reserve (LTCR), Republic of Congo, for Sustainable Wetland Management",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
130,"EasyDAM_V4: Guided-GAN-based cross-species data labeling for fruit detection with significant shape difference",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
131,"A smart crop, irrigation system and fertiliser prediction using IoT and machine learning",2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
132,"Harnessing automation techniques for supporting sustainability in agriculture",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
133,"Crop diagnostic system: A robust disease detection and management system for leafy green crops grown in an aquaponics facility",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
134,"Artificial intelligence SoS framework for sustainable agricultural production",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
135,"In-situ and airborne hyperspectral data for detecting agricultural activities in a dense forest landscape",2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
136,"Monitoring Groundwater Storage Based on Satellite Gravimetry and Deep Learning",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
137,"A Secure IoT-Based Irrigation System for Precision Agriculture Using the Expeditious Cipher",2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
