ID,Ano,Periodo,Algoritmo,Evidencia,Contexto,Aplicacao,Regiao
74,2019,2015-19,Other,Hybrid,Swidden,LULC,Global
75,2017,2015-19,Other,RemoteSensing,Swidden,LULC,Global
76,2017,2015-19,Other,Hybrid,Swidden,LULC,Americas
77,2017,2015-19,Other,Hybrid,Swidden,LULC,Americas
78,2017,2015-19,RandomForest,Hybrid,Swidden,Deforestation,Global
79,2015,2015-19,Other,Satellite,Swidden,LULC,Asia
80,2011,2010-14,Other,RemoteSensing,Swidden,LULC,Americas
81,2010,2010-14,Other,RemoteSensing,Swidden,LULC,Americas
82,2025,2020-25,Other,Hybrid,SAT-General,Soil,Americas
83,2010,2010-14,Other,RemoteSensing,Swidden,LULC,Americas
85,2025,2020-25,DeepLearning,Other,SAT-General,Classification,Asia
86,2024,2020-25,DeepLearning,Other,SAT-General,Classification,Asia
87,2023,2020-25,DeepLearning,UAV,SAT-General,Yield,Global
88,2020,2020-25,DeepLearning,Other,SAT-General,Monitoring,Asia
90,2012,2010-14,SVM,Hybrid,Swidden,LULC,Europe
91,2022,2020-25,Regression,Other,SAT-General,Monitoring,Global
92,2024,2020-25,RandomForest,Satellite,Swidden,LULC,Global
93,2018,2015-19,Other,Satellite,Swidden,Deforestation,Europe
94,2018,2015-19,Other,Satellite,Swidden,LULC,Europe
95,2018,2015-19,Regression,Hybrid,TraditionalSystem,Other,Oceania
96,2016,2015-19,RandomForest,Hybrid,Swidden,LULC,Europe
97,2015,2015-19,Other,Hybrid,SAT-General,LULC,Global
99,2022,2020-25,Other,Hybrid,SAT-General,Biodiversity,Europe
101,2025,2020-25,RandomForest,RemoteSensing,Swidden,Deforestation,Global
102,2025,2020-25,Other,Hybrid,TraditionalSystem,Other,Europe
103,2025,2020-25,Other,UAV,SAT-General,Yield,Global
105,2022,2020-25,Regression,Other,SAT-General,Soil,Asia
106,2018,2015-19,Other,Satellite,Swidden,Soil,Asia
107,2018,2015-19,Other,Hybrid,SAT-General,LULC,Asia
109,2016,2015-19,Other,RemoteSensing,Swidden,LULC,Africa
110,2015,2015-19,DecisionTree,Hybrid,Swidden,LULC,Asia
111,2013,2010-14,Other,Satellite,Swidden,LULC,Asia
112,2013,2010-14,Other,RemoteSensing,Swidden,LULC,Global
113,2013,2010-14,Other,Other,SAT-General,Other,Asia
114,2012,2010-14,Other,RemoteSensing,Swidden,LULC,Global
115,2012,2010-14,Regression,RemoteSensing,SAT-General,Yield,Americas
116,2011,2010-14,Clustering,GIS,Swidden,LULC,Asia
117,2016,2015-19,Regression,Satellite,Swidden,LULC,Europe
118,2022,2020-25,Other,Hybrid,SAT-General,Mapping,Asia
120,2025,2020-25,Other,UAV,SAT-General,Yield,Americas
121,2025,2020-25,RandomForest,Hybrid,Swidden,Deforestation,Global
122,2025,2020-25,Regression,Other,SAT-General,LULC,Global
123,2025,2020-25,Other,Hybrid,Swidden,LULC,Global
124,2025,2020-25,DeepLearning,Other,SAT-General,Other,Asia
125,2024,2020-25,Other,Other,SAT-General,Other,Americas
126,2024,2020-25,Other,Other,SAT-General,Other,Global
128,2024,2020-25,DeepLearning,Other,SAT-General,Classification,Global
130,2024,2020-25,Other,Other,SAT-General,Other,Asia
131,2024,2020-25,Other,Other,SAT-General,Soil,Asia
132,2024,2020-25,Other,Other,SAT-General,Other,Global
133,2023,2020-25,DeepLearning,Other,SAT-General,Soil,Global
134,2023,2020-25,Other,Other,SAT-General,Soil,Asia
135,2023,2020-25,Other,Hybrid,Swidden,Biodiversity,Global
136,2023,2020-25,DeepLearning,Satellite,SAT-General,Monitoring,Americas
137,2023,2020-25,Other,Other,SAT-General,Other,Global
139,2022,2020-25,DeepLearning,Other,SAT-General,Soil,Asia
140,2022,2020-25,Other,TimeSeries,SAT-General,LULC,Americas
141,2019,2015-19,Other,Hybrid,Swidden,Other,Asia
142,2019,2015-19,Other,GIS,Swidden,LULC,Global
145,2012,2010-14,Other,GIS,Swidden,LULC,Global
146,2011,2010-14,Other,GIS,Swidden,Soil,Asia
148,2022,2020-25,Other,TimeSeries,SAT-General,LULC,Americas
149,2026,2020-25,DeepLearning,Hyperspectral,SAT-General,Classification,Asia
150,2020,2020-25,Other,Other,SAT-General,Other,Global
151,2022,2020-25,Other,Hybrid,Swidden,Deforestation,Global
153,2017,2015-19,Other,GIS,SAT-General,Monitoring,Asia
154,2015,2015-19,Other,RemoteSensing,SAT-General,LULC,Global
157,2025,2020-25,Other,Other,SAT-General,Yield,Asia
158,2025,2020-25,Other,Hybrid,SAT-General,LULC,Europe
160,2024,2020-25,Other,Hybrid,SAT-General,LULC,Europe
161,2024,2020-25,Other,Other,SAT-General,Other,Americas
162,2024,2020-25,Boosting,Hyperspectral,SAT-General,Monitoring,Global
164,2022,2020-25,Other,Satellite,Swidden,Deforestation,Global
165,2022,2020-25,Other,RemoteSensing,Swidden,Deforestation,Asia
166,2021,2020-25,Other,Hybrid,Swidden,Monitoring,Europe
167,2021,2020-25,Other,Other,SAT-General,Other,Global
169,2018,2015-19,Other,RemoteSensing,Agroforestry,LULC,Global
170,2016,2015-19,Other,RemoteSensing,Swidden,Biodiversity,Global
175,2013,2010-14,Other,Other,Swidden,LULC,Global
176,2013,2010-14,Other,GIS,Swidden,Biodiversity,Global
177,2013,2010-14,Other,TimeSeries,Swidden,LULC,Asia
178,2013,2010-14,Other,TimeSeries,Swidden,Deforestation,Global
180,2011,2010-14,Other,Satellite,Swidden,LULC,Global
181,2010,2010-14,Other,Satellite,Swidden,LULC,Europe
183,2025,2020-25,Other,Other,SAT-General,Soil,Asia
184,2025,2020-25,DeepLearning,Other,SAT-General,Classification,Global
185,2025,2020-25,Other,Other,SAT-General,Monitoring,Global
186,2025,2020-25,Other,Other,SAT-General,Other,Oceania
187,2025,2020-25,Other,Hybrid,Swidden,Deforestation,Europe
188,2025,2020-25,Other,Other,SAT-General,Monitoring,Europe
189,2024,2020-25,Other,Other,SAT-General,Monitoring,Global
190,2024,2020-25,Other,GIS,Swidden,Soil,Asia
191,2023,2020-25,Other,Other,SAT-General,Monitoring,Asia
192,2022,2020-25,Other,Other,SAT-General,Other,Asia
193,2021,2020-25,Other,Other,SAT-General,Other,Global
194,2021,2020-25,DeepLearning,Other,SAT-General,Classification,Asia
195,2021,2020-25,Other,Other,SAT-General,Biodiversity,Global
196,2019,2015-19,Other,Other,SAT-General,Soil,Asia
198,2015,2015-19,Other,Hybrid,Swidden,LULC,Global
200,2011,2010-14,Other,Hybrid,Swidden,LULC,Asia
203,2022,2020-25,Other,Other,SAT-General,Soil,Americas
204,2024,2020-25,Other,Hybrid,Swidden,LULC,Global
206,2023,2020-25,Other,Satellite,Swidden,LULC,Global
210,2025,2020-25,Other,RemoteSensing,Swidden,LULC,Europe
211,2025,2020-25,Other,RemoteSensing,Swidden,Yield,Europe
212,2025,2020-25,Other,Satellite,SAT-General,Soil,Global
213,2024,2020-25,Other,Hybrid,Swidden,LULC,Global
214,2024,2020-25,Other,RemoteSensing,Swidden,Other,Global
216,2023,2020-25,Regression,Hyperspectral,SAT-General,Monitoring,Asia
217,2022,2020-25,Other,RemoteSensing,Swidden,Other,Asia
218,2022,2020-25,Other,RemoteSensing,Swidden,Deforestation,Global
219,2021,2020-25,Other,TimeSeries,SAT-General,LULC,Asia
221,2021,2020-25,Other,RemoteSensing,Swidden,Deforestation,Africa
222,2021,2020-25,Other,Satellite,Swidden,LULC,Africa
223,2021,2020-25,Other,Hybrid,Swidden,LULC,Americas
226,2018,2015-19,Other,Satellite,Swidden,LULC,Asia
227,2016,2015-19,Other,Satellite,Swidden,LULC,Americas
229,2011,2010-14,Other,RemoteSensing,Swidden,LULC,Europe
230,2015,2015-19,Other,TimeSeries,Swidden,LULC,Europe
231,2013,2010-14,Other,Satellite,SAT-General,LULC,Americas
232,2024,2020-25,Other,RemoteSensing,Swidden,Other,Americas
235,2021,2020-25,Other,Other,Swidden,LULC,Global
239,2024,2020-25,Other,Satellite,Swidden,Mapping,Asia
