"ID","Algoritmo","Instrumento","Produto","Aplicacao","Regiao","Periodo"
90,"SVM","Outros","Outros","Classification","Americas","2010-2014"
91,"SVM","Outros","Outros","Outros","Global","2020-2025"
92,"RandomForest","Outros","Outros","QualityControl","Asia","2020-2025"
93,"Outros","Outros","Outros","QualityControl","Global","2015-2019"
94,"Outros","Outros","Outros","Outros","Global","2015-2019"
95,"Outros","Outros","Outros","Outros","Global","2015-2019"
96,"RandomForest","Outros","Outros","Outros","Americas","2015-2019"
97,"Outros","Outros","Outros","Outros","Asia","2010-2014"
98,"RandomForest","Outros","Outros","Classification","Asia","2020-2025"
99,"Outros","Outros","Outros","Outros","Global","2020-2025"
100,"Outros","Outros","Outros","Outros","Global","2020-2025"
101,"RandomForest","Outros","Outros","QualityControl","Asia","2020-2025"
102,"Outros","Outros","Outros","Outros","Europe","2020-2025"
103,"Outros","Sensor","Outros","Outros","Global","2020-2025"
104,"RandomForest","Outros","Outros","OriginDetection","Global","2020-2025"
105,"Outros","Sensor","Outros","Classification","Global","2020-2025"
106,"Outros","Outros","Outros","QualityControl","Asia","2015-2019"
107,"Outros","Outros","Outros","Classification","Asia","2015-2019"
108,"RandomForest","Outros","Outros","Classification","Americas","2015-2019"
109,"Outros","Outros","Outros","Outros","Global","2015-2019"
110,"DecisionTree","Outros","Outros","Classification","Asia","2010-2014"
111,"Outros","Outros","Outros","Outros","Global","2010-2014"
112,"Outros","Outros","Outros","Outros","Global","2010-2014"
113,"Outros","Outros","Outros","Outros","Asia","2010-2014"
114,"Outros","Outros","Outros","Outros","Americas","2010-2014"
115,"Outros","Outros","Outros","Outros","Americas","2010-2014"
116,"Outros","Outros","Outros","Outros","Asia","2010-2014"
117,"Outros","Outros","Outros","Classification","Global","2015-2019"
118,"Outros","Outros","Honey","Outros","Global","2020-2025"
119,"Outros","Outros","Tea","QualityControl","Global","2015-2019"
120,"Outros","Sensor","Outros","Outros","Global","2020-2025"
121,"RandomForest","Outros","Honey","QualityControl","Global","2020-2025"
122,"Outros","Outros","Outros","QualityControl","Global","2020-2025"
123,"Outros","Outros","Honey","OriginDetection","Global","2020-2025"
124,"NeuralNetwork","Outros","Outros","Outros","Americas","2020-2025"
125,"Outros","Outros","Outros","QualityControl","Global","2020-2025"
126,"Outros","Outros","Honey","Outros","Global","2020-2025"
127,"Outros","Outros","Outros","Outros","Global","2020-2025"
128,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
129,"Outros","Outros","Outros","Outros","Global","2020-2025"
130,"Outros","Outros","Honey","OriginDetection","Global","2020-2025"
131,"Outros","Sensor","Outros","Outros","Global","2020-2025"
132,"Outros","Outros","Outros","Outros","Global","2020-2025"
133,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
134,"Outros","Outros","Outros","Outros","Global","2020-2025"
135,"Outros","Sensor","Outros","Classification","Global","2020-2025"
136,"NeuralNetwork","Outros","Outros","Outros","Global","2020-2025"
137,"Outros","Sensor","Honey","Outros","Americas","2020-2025"
138,"Outros","Outros","Outros","Classification","Global","2020-2025"
139,"NeuralNetwork","Sensor","Outros","Outros","Global","2020-2025"
140,"NeuralNetwork","Outros","Outros","Outros","Global","2020-2025"
141,"Outros","Outros","Outros","OriginDetection","Asia","2015-2019"
142,"Outros","Outros","Outros","Outros","Global","2015-2019"
143,"Outros","Sensor","Outros","OriginDetection","Global","2015-2019"
144,"Outros","Outros","Tea","Outros","Asia","2010-2014"
145,"Outros","Outros","Honey","OriginDetection","Asia","2010-2014"
146,"Outros","Outros","Outros","Classification","Asia","2010-2014"
147,"Outros","Outros","Tea","Outros","Asia","2010-2014"
148,"NeuralNetwork","Outros","Outros","Outros","Global","2020-2025"
149,"NeuralNetwork","Outros","Outros","Authentication","Global",NA
150,"Outros","Outros","Outros","Outros","Global","2015-2019"
151,"Outros","Outros","Outros","Outros","Asia","2020-2025"
152,"Outros","Outros","Tea","Outros","Global","2015-2019"
153,"Outros","Outros","Outros","Outros","Asia","2015-2019"
154,"Outros","Outros","Outros","Outros","Global","2010-2014"
155,"Outros","Outros","Outros","Outros","Global","2020-2025"
156,"Outros","Outros","Outros","Outros","Global","2010-2014"
157,"NeuralNetwork","Sensor","Outros","QualityControl","Asia","2020-2025"
158,"Outros","Outros","Outros","Outros","Europe","2020-2025"
159,"Outros","Outros","Tea","QualityControl","Asia","2020-2025"
160,"Outros","Sensor","Outros","Outros","Europe","2020-2025"
161,"Outros","Outros","Outros","QualityControl","Americas","2020-2025"
162,"GradientBoosting","Outros","Outros","Classification","Global","2020-2025"
163,"RandomForest","Outros","Olive","Outros","Europe","2020-2025"
164,"Outros","Outros","Outros","Outros","Global","2020-2025"
165,"Outros","Outros","Outros","OriginDetection","Asia","2020-2025"
166,"Outros","Sensor","Honey","Outros","Americas","2020-2025"
167,"Outros","Outros","Outros","Outros","Global","2020-2025"
168,"Outros","Outros","Outros","Outros","Asia","2015-2019"
169,"Outros","Outros","Outros","Outros","Global","2015-2019"
170,"Outros","Outros","Outros","Outros","Global","2015-2019"
171,"Outros","Outros","Outros","Classification","Europe","2010-2014"
172,"Outros","Outros","Outros","Outros","Americas","2010-2014"
173,"Outros","Outros","Outros","Outros","Europe","2010-2014"
174,"Outros","Outros","Outros","Outros","Global","2010-2014"
175,"Outros","Outros","Outros","Outros","Global","2010-2014"
176,"Outros","Outros","Honey","Outros","Asia","2010-2014"
177,"Outros","Outros","Outros","OriginDetection","Asia","2010-2014"
178,"Outros","Sensor","Outros","Outros","Global","2010-2014"
179,"Outros","Outros","Outros","Classification","Global","2010-2014"
180,"Outros","Sensor","Outros","Classification","Global","2010-2014"
181,"Outros","Outros","Outros","Outros","Asia","2010-2014"
182,"Outros","Outros","Tea","Outros","Global","2015-2019"
183,"Outros","Sensor","Outros","Outros","Global","2020-2025"
184,"NeuralNetwork","Outros","Outros","Classification","Global","2020-2025"
185,"Outros","Outros","Outros","Outros","Global","2020-2025"
186,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
187,"Outros","Outros","Outros","Outros","Global","2020-2025"
188,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
189,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
190,"Outros","Outros","Outros","OriginDetection","Asia","2020-2025"
191,"Outros","Outros","Outros","QualityControl","Global","2020-2025"
192,"Outros","Outros","Outros","OriginDetection","Asia","2020-2025"
193,"Outros","Outros","Outros","Outros","Asia","2020-2025"
194,"NeuralNetwork","Outros","Honey","Classification","Global","2020-2025"
195,"Outros","Outros","Meat","OriginDetection","Global","2020-2025"
196,"Outros","Sensor","Outros","Outros","Global","2015-2019"
197,"Outros","Outros","Outros","Outros","Global","2010-2014"
198,"NeuralNetwork","Outros","Outros","Classification","Global","2010-2014"
199,"Outros","Outros","Tea","Outros","Global","2010-2014"
200,"Outros","Outros","Outros","Outros","Asia","2010-2014"
201,"Outros","Outros","Outros","Outros","Global","2010-2014"
202,"Outros","Outros","Outros","QualityControl","Global","2010-2014"
203,"Outros","Sensor","Outros","Outros","Global","2020-2025"
204,"Outros","Outros","Outros","Outros","Global","2020-2025"
205,"Outros","Outros","Tea","Outros","Global","2020-2025"
206,"Outros","Outros","Honey","Outros","Asia","2020-2025"
207,"Outros","Outros","Tea","Classification","Americas","2010-2014"
208,"Outros","Outros","Outros","OriginDetection","Americas","2020-2025"
209,"Outros","Outros","Outros","Outros","Global","2010-2014"
210,"Outros","Outros","Outros","Outros","Asia","2020-2025"
211,"Outros","Outros","Outros","Outros","Asia","2020-2025"
212,"Outros","Outros","Outros","Outros","Global","2020-2025"
213,"Outros","Outros","Outros","Outros","Global","2020-2025"
214,"Outros","Outros","Outros","OriginDetection","Americas","2020-2025"
215,"Outros","Outros","Outros","Outros","Global","2020-2025"
216,"Outros","Outros","Outros","OriginDetection","Global","2020-2025"
217,"Outros","Outros","Outros","Outros","Asia","2020-2025"
218,"Outros","Outros","Outros","Outros","Asia","2020-2025"
219,"Outros","Outros","Outros","Outros","Global","2020-2025"
220,"Outros","Sensor","Tea","Outros","Americas","2020-2025"
221,"Outros","Outros","Outros","Outros","Global","2020-2025"
222,"Outros","Outros","Outros","Classification","Global","2020-2025"
223,"Outros","NIR","Outros","QualityControl","Global","2020-2025"
224,"Outros","Outros","Coffee","QualityControl","Americas","2015-2019"
225,"Outros","Outros","Coffee","Outros","Global","2015-2019"
226,"Outros","Outros","Outros","Outros","Global","2015-2019"
227,"Outros","Outros","Outros","Classification","Global","2015-2019"
228,"Outros","Outros","Tea","Outros","Asia","2010-2014"
229,"Outros","Outros","Outros","OriginDetection","Asia","2010-2014"
230,"Outros","Outros","Outros","Outros","Global","2010-2014"
231,"Outros","Outros","Outros","Classification","Global","2010-2014"
232,"Outros","Outros","Outros","Outros","Americas","2020-2025"
233,"Outros","Outros","Outros","Outros","Global","2010-2014"
234,"Outros","Outros","Outros","Outros","Asia","2020-2025"
235,"Outros","Outros","Outros","Outros","Asia","2020-2025"
236,"Outros","Outros","Outros","Classification","Global","2015-2019"
237,"Outros","Outros","Outros","Outros","Europe","2010-2014"
238,"Outros","Outros","Outros","Outros","Asia","2020-2025"
239,"Outros","NIR","Outros","Outros","Global","2020-2025"
240,"Outros","Outros","Outros","Classification","Global","2020-2025"
241,"Outros","Outros","Outros","Outros","Americas","2020-2025"
242,"Outros","Outros","Outros","Outros","Asia","2015-2019"
243,"Outros","Outros","Outros","Classification","Asia","2015-2019"
244,"Outros","Outros","Outros","Outros","Americas","2010-2014"
